키워드,검색량,경쟁도,트렌드,카테고리,우선순위
여름 딸기,5000,중간,상승,건강/식품,1
노트북 추천,8000,높음,안정,IT/전자,2
다이어트 방법,12000,높음,상승,건강/뷰티,3
AI 트렌드,3000,낮음,급상승,IT/기술,4
블로그 수익,4000,중간,상승,비즈니스,5
워드프레스 사용법,2000,낮음,안정,IT/웹,6
메이크 자동화,1500,낮음,급상승,자동화,7
쿠팡 파트너스,6000,중간,상승,수익,8
SEO 최적화,3500,중간,안정,마케팅,9
콘텐츠 마케팅,4500,중간,상승,마케팅,10
스마트폰 추천,9000,높음,안정,IT/전자,11
건강식품 추천,7000,중간,상승,건강,12
투자 방법,15000,높음,상승,금융,13
부동산 투자,11000,높음,안정,투자,14
주식 투자,13000,높음,상승,투자,15
온라인 쇼핑몰,5500,중간,상승,쇼핑,16
프리랜서 되는법,3000,낮음,상승,커리어,17
재택근무 노하우,2500,낮음,급상승,직장,18
부업 추천,8500,중간,상승,부업,19
영어 공부법,6500,중간,안정,교육,20